,0
345,"KB금융, 와 금융 AI 비즈니스 사업제휴"
346," D2SF, 로보틱스·의료 AI 스타트업에 투자"
347,"KB금융·, 금융 AI 비즈니스 사업 제휴"
348,‧카카오 커머스 무서운 성장세… 이커머스 위협하나
349,"KB금융, 와 금융 AI 비즈니스 제휴"
350,"KB금융, 와 금융 AI 비즈니스 사업제휴"
351,"KB금융, 와 금융 AI 비즈니스 사업제휴"
352,"KB금융, 와 금융 AI 비즈니스 사업제휴"
353,"KB금융, 와 금융 AI 비즈니스 사업제휴"
354," 웅진코웨이, 환경가전업계 4차 산업 선도"
355,"KB금융, 와 금융 AI 비즈니스 사업제휴"
356,"KB금융, 와 금융 AI비즈니스 사업제휴"
357,"·LGU+, 지체장애인 300명에 AI 스피커 지원"
358,"KB금융, 와 금융 AI 비즈니스 사업제휴"
359,"""나랑 손잡자""…·카카오 AI 플랫폼 확대 '박차'"
360,"KB금융, 와 금융 AI 비즈니스 사업제휴"
361,"미래에셋대우, 올해 1분기 합병 후 '최대순익' 달성"
362,"이통3사, '보는 AI 스피커'로 2라운드 경쟁 돌입"
363,디스플레이 결합.. 이통 3사 'AI 스피커 대전' 2R
364,"KB금융, 와 금융AI 비즈니스 사업제휴"
365,"KB금융, 와 금융 AI 비즈니스 사업제휴"
366,"KB금융, 와 금융 AI 비즈니스 사업제휴"
367,홈로봇 'LG 클로이' CJ오쇼핑서 판매
368,"""아이언맨 액션포즈 보여줘""..LGU+, 어벤저스 캐릭터 보이는 AI스피..."
369, 내가 안 읽은 '내 목소리 동화' 어떻게 만들어질까
370,", 'ICLR 2019'서 연구 성과 공개"
371,"KB금융그룹, 와 금융 AI 비즈니스 사업개발 '맞손'"
372,"LG전자, 인공지능 홈로봇 'LG 클로이' 본격 판매"
373,"KB금융, 와 금융 AI 비즈니스 사업제휴"
374,"KB금융, 와 금융 AI 비즈니스 사업제휴"
375, 듣는 것으론 부족.. '보는' AI 스피커 속속 등장
376,"KB금융그룹, 와 금융 AI 비즈니스 사업 협력"
377,"LG전자, ""동화책 읽어주는"" 홈로봇 '클로이' 판매 개시"
378, 클릭만 하면 AI가 ‘서빙’됩니다
379,"KB금융, 와 '금융 AI 비즈니스' 업무협약 체결"
380,", LGU+와 지체 장애인에 AI스피커·음원 이용권 전달"
381, ‘인공지능 불꽃토론 벌인다’  4회째 개...
382,"LG유플러스는 , CJ헬로는 카카오와 AI스피커 제휴"
383,"우리은행- 라인, AI기술 활용 금융상품 개발 협약"
384, 와 금융 AI 비즈니스 사업제휴
385,"KB금융, 와 '금융 AI 스피커' 개발 MOU"
386,"KB금융그룹, 와 금융 AI(인공지능) 비즈니스 제휴"
